date,end,title,fill,description
1996-08-01,1996-08-01,Arsene Wenger appointed manager of Arsenal,#9D864A,"Wenger brought new tactics, a new training regime and several foreign players who complemented the existing English talent."
1999-06-01,1999-06-01,Manchester United win the treble,#D5030E,"After finishing the previous season without winning any titles, United won a treble of trophies (the Premier League, FA Cup and UEFA Champions League), the first side in English football to achieve such a feat."
2003-06-01,2003-06-01,Chelsea sold to Abramovich,#034694,"Chelsea to Russian billionaire Roman Abramovich for 140 million. Over 100 million was spent on new players."
2004-06-01,2007-09-01,Mourinho takes over at Chelsea,#034694,"After failing to secure any trophies, Ranieri was replaced by Jose Mourinho.  He would stay until 2007"
2008-08-01,2008-08-01,Manchester City purchased by the Abu Dhabi United Group,#5CBFEB,"The takeover was immediately followed by a flurry of bids for high-profile players; the club broke the British transfer record by signing Brazilian international Robinho from Real Madrid for 32.5 million."
2009-06-01,2009-08-01,Manchester City spending spree,#5CBFEB,"During the summer of 2009 City took transfer spending to an unprecedented level, with an outlay of over 100 million on players Gareth Barry, Roque Santa Cruz, Kolo Toure, Emmanuel Adebayor, Carlos Tevez and Joleon Lescott."
2005-06-01,2005-08-01,Liverpool win Champions League,#D00027,"Despite only finishing 5th in the Premier League, Liverpool managed to beat A.C. Milan on penalties in the Champions League final"
2013-05-08,2013-05-08,Alex Ferguson retires,#D00027,"On 8 May 2013, Alex Ferguson announced that he was to retire as manager at the end of the football season after over 25 years in charge, but would remain at the club as a director and club ambassador. The club announced the next day that Everton manager David Moyes would replace him from 1 July, having signed a six-year contract."
2013-08-01,2013-08-01,Jose Mourinho returns to Chelsea,#034694,"Chelsea chief executive Ron Gourlay announced the appointment of Mourinho as manager for the second time, on a four-year contract. Mourinho told Chelsea TV: 'In my career I've had two great passions - Inter and Chelsea - and Chelsea is more than important for me.'"
1995-12-15,1995-12-15,Bosman ruling,gray,"The decision banned restrictions on foreign EU players within national leagues and allowed players in the EU to move to another club at the end of a contract without a transfer fee being paid. The ruling meant that clubs would no longer profit from selling players who they had helped to develop if they left at the end of their contracts. In 2005, UEFA declared that they were seeking to repair aspects of the ruling, because it was believed to be the cause of the increasing rich-poor gap between elite and smaller clubs."
2002-07-22,2002-07-22,Leeds United sell Rio Ferdinand,#CCB215,"Leeds had taken out large loans against the prospect of the share of the TV rights and sponsorship revenues from UEFA Champions League qualification and subsequent progress in the competition. However, Leeds narrowly failed to qualify for the Champions League in two successive seasons, and as a consequence did not receive enough income to repay the loans.The first indication that the club was in serious financial trouble was the sale of Rio Ferdinand to Manchester United for approximately 30 million."
1995-06-01,1999-06-01,Blackburn Rovers win the title,#009036,"In 1995, Blackburn became Premier League champions, having spent millions of pounds on players like Alan Shearer and Chris Sutton. However, the title-winning team was quickly split up and, in the 1998-99 season, the club was relegated."
1993-01-01,2016-01-01,Premier League TV revenues massively increase,gray,"Income from TV rights for the Premier League has risen from 191 million at the leagues inception to 5.13 billion at the start of 2016"
